table_name,entity_class,repository,services,controllers,frontend_usage,read_usage,write_usage,delete_usage,relationship_dependencies,runtime_usage,future_requirement,classification,evidence
logistics_companies,LogisticsCompanies.java,LogisticsCompaniesRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
logistics_vehicles,LogisticsVehicles.java,LogisticsVehiclesRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
managers,Managers.java,ManagersRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
market_price_history,MarketPriceHistory.java,MarketPriceHistoryRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
notifications,Notifications.java,NotificationsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
ocr_extractions,OcrExtractions.java,OcrExtractionsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
order_delivery_otps,OrderDeliveryOtps.java,OrderDeliveryOtpsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
orders,Orders.java,OrdersRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
otps,Otps.java,OtpsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
packaging_standards,PackagingStandards.java,PackagingStandardsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
partner_registration_requests,PartnerRegistrationRequests.java,PartnerRegistrationRequestsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
password_history,PasswordHistory.java,PasswordHistoryRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
password_reset_otps,PasswordResetOtps.java,PasswordResetOtpsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
payment_transactions,PaymentTransactions.java,PaymentTransactionsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
payments,Payments.java,PaymentsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
platform_wallets,PlatformWallets.java,PlatformWalletsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
product_packages,ProductPackages.java,ProductPackagesRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
products,Products.java,ProductsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
search_preferences,SearchPreferences.java,SearchPreferencesRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
settlements,Settlements.java,SettlementsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
shipments,Shipments.java,ShipmentsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
suppliers,Suppliers.java,SuppliersRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
sync_job_logs,SyncJobLogs.java,SyncJobLogsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
sync_locks,SyncLocks.java,SyncLocksRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
temporary_passwords,TemporaryPasswords.java,TemporaryPasswordsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
trust_score_histories,TrustScoreHistories.java,TrustScoreHistoriesRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
users,Users.java,UsersRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
vehicle_locations,VehicleLocations.java,VehicleLocationsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
verification_audits,VerificationAudits.java,VerificationAuditsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
verification_documents,VerificationDocuments.java,VerificationDocumentsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
village_master,VillageMaster.java,VillageMasterRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
warehouse_capacity,WarehouseCapacity.java,WarehouseCapacityRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
warehouse_coverage,WarehouseCoverage.java,WarehouseCoverageRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
warehouse_insurance_claims,WarehouseInsuranceClaims.java,WarehouseInsuranceClaimsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
warehouse_insurance_policies,WarehouseInsurancePolicies.java,WarehouseInsurancePoliciesRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
warehouse_location,WarehouseLocation.java,WarehouseLocationRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
warehouse_model_metadata,WarehouseModelMetadata.java,WarehouseModelMetadataRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
warehouse_partner_request,WarehousePartnerRequest.java,WarehousePartnerRequestRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
warehouse_performance_history,WarehousePerformanceHistory.java,WarehousePerformanceHistoryRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
warehouse_settings,WarehouseSettings.java,WarehouseSettingsRepository,ForecastService/UserService,ForecastController/UserController,Yes,Yes,Yes,Yes,None,Yes,Yes,GREEN_KEEP,Verified via JPA mapping and controller access paths
